City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,solnechnyy,50.7214,136.6319,-21.82,93,100,1.39,RU,1733305430
223,jinchang,38.4953,102.1739,-1.42,53,0,2.07,CN,1733305432
224,whitehorse,60.7161,-135.0538,-2.77,93,40,12.86,CA,1733305146
225,cockburn town,21.4612,-71.1419,24.66,82,100,13.47,TC,1733305302
226,khovd,48.0056,91.6419,-11.55,80,3,0.34,MN,1733305435
227,hithadhoo,-0.6,73.0833,27.66,77,41,7.23,MV,1733305436
228,la belgica,-17.55,-63.2167,20.16,88,75,2.06,BO,1733305437
229,coquimbo,-29.9533,-71.3436,11.85,94,20,2.06,CL,1733305438
230,colonia,50.9333,6.95,5.53,89,75,1.54,DE,1733305439
231,amga,60.8953,131.9608,-22.77,97,99,1.64,RU,1733305440
232,karamursel,40.6914,29.6157,10.51,87,100,1.01,TR,1733305442
233,masvingo,-20.0637,30.8277,34.03,15,0,2.06,ZW,1733305443
234,geraldton,-28.7667,114.6,24.23,60,8,7.2,AU,1733305445
235,borba,-4.3878,-59.5939,23.54,92,74,1.21,BR,1733305446
236,georgetown,5.4112,100.3354,29.96,74,20,3.6,MY,1733305447
237,klyuchi,52.2667,79.1667,-7.79,87,83,3.66,RU,1733305448
238,qaqortoq,60.7167,-46.0333,-11.26,85,39,3.38,GL,1733305449
239,trairi,-3.2778,-39.2689,26.51,78,52,3.63,BR,1733305212
240,laminusa,5.5549,120.9136,29.05,73,97,3.01,PH,1733305452
241,malango,-2.9627,119.9001,21.76,96,99,0.57,ID,1733305453
242,sandnessjoen,66.0217,12.6316,1.06,32,0,5.66,NO,1733305454
243,thinadhoo,0.5333,72.9333,27.84,76,59,6.61,MV,1733305455
244,palu,-0.8917,119.8707,25.47,98,100,1.13,ID,1733305456
245,aswan,24.0934,32.907,20.61,32,0,3.6,EG,1733305457
246,gadzhiyevo,69.2551,33.3362,-9.5,88,34,5.49,RU,1733305458
247,belene,43.65,25.1167,6.99,67,100,1.81,BG,1733305459
248,al kharj,24.155,47.3346,23.32,24,0,5.73,SA,1733305460
249,riberalta,-10.9833,-66.1,22.47,98,100,0.94,BO,1733305461
250,east london,-33.0153,27.9116,24.52,60,20,3.6,ZA,1733305206
251,skowhegan,44.7651,-69.7192,-7.39,94,99,0.89,US,1733305463
252,sunland park,31.7965,-106.58,11.56,77,0,2.57,US,1733305465
253,amble,55.3333,-1.5833,4.08,93,43,3.6,GB,1733305466
254,machico,32.7,-16.7667,20.4,73,40,4.63,PT,1733305467
255,tartu,58.3806,26.7251,-2.86,82,3,1.03,EE,1733305468
256,chonchi,-42.6128,-73.8092,11.18,96,98,0.91,CL,1733305469
257,okhotsk,59.3833,143.3,-3.67,88,100,3.45,RU,1733305470
258,alo,6.5486,4.2686,32.11,45,63,0.97,NG,1733305471
259,aasiaat,68.7098,-52.8699,-12.58,92,100,2.6,GL,1733305472
260,nemuro,43.3236,145.575,1.04,69,26,6.66,JP,1733305473
261,oeiras do para,-2.0031,-49.8544,23.98,96,100,0.85,BR,1733305474
262,kolonia,50.9333,6.95,5.53,89,75,1.54,DE,1733305475
263,uliastay,47.7417,96.8444,-13.69,78,14,2.26,MN,1733305476
264,salahonda,2.1019,-78.7217,24.94,85,98,4.7,CO,1733305479
265,minab,27.1467,57.0801,26.18,14,0,0.98,IR,1733305480
266,ancud,-41.8697,-73.8203,10.75,89,100,1.27,CL,1733305481
267,fukuecho,32.6881,128.8419,10.2,62,75,2.57,JP,1733305482
268,peniscola,40.3359,0.3613,13.64,58,95,5.06,ES,1733305483
269,namibe,-15.1961,12.1522,24.4,70,25,3.66,AO,1733305484
270,stephenville,32.2207,-98.2023,12.07,60,100,2.24,US,1733305485
